"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"ACADVL",0,3.4843563186823,0.847,0.22,0,"Peds_Ctrl","ACADVL"
"LINC02208",0,3.26791226622954,0.825,0.237,0,"Peds_Ctrl","LINC02208"
"FP236383.3",0,11.9840869639729,0.554,0,0,"Peds_Ctrl","FP236383.3"
"FBN2",0,1.67309106498522,0.81,0.3,0,"Peds_Ctrl","FBN2"
"MYH6",0,3.02299867330864,0.955,0.451,0,"Peds_Ctrl","MYH6"
"HSPB7",0,2.43269941693538,0.933,0.432,0,"Peds_Ctrl","HSPB7"
"MGAT4C",0,2.15168714818833,0.688,0.187,0,"Peds_Ctrl","MGAT4C"
"CRIP2",0,2.70637532017823,0.628,0.138,0,"Peds_Ctrl","CRIP2"
"LINC02256",0,2.14546443165496,0.663,0.195,0,"Peds_Ctrl","LINC02256"
"LINC01505",0,1.7776864803755,0.829,0.372,0,"Peds_Ctrl","LINC01505"
"CPT1B",0,2.16582732320966,0.646,0.197,0,"Peds_Ctrl","CPT1B"
"PLIN5",0,2.14031943493594,0.64,0.197,0,"Peds_Ctrl","PLIN5"
"ANKRD2",0,2.85795791239453,0.588,0.15,0,"Peds_Ctrl","ANKRD2"
"GRIP2",0,1.94426348632459,0.697,0.268,0,"Peds_Ctrl","GRIP2"
"C14orf180",0,1.99745426900648,0.664,0.241,0,"Peds_Ctrl","C14orf180"
"NDUFV1",0,2.02283883180141,0.667,0.251,0,"Peds_Ctrl","NDUFV1"
"FRMD4B",0,2.97475807859106,0.462,0.059,0,"Peds_Ctrl","FRMD4B"
"NCALD",0,2.61976820848113,0.501,0.098,0,"Peds_Ctrl","NCALD"
"AQP7",0,1.51996276339856,0.864,0.485,0,"Peds_Ctrl","AQP7"
"TMEM178B",0,1.8512715964893,0.781,0.408,0,"Peds_Ctrl","TMEM178B"
"DES",0,1.99130402449283,0.964,0.597,0,"Peds_Ctrl","DES"
"NRAP",0,1.32028004837722,0.891,0.525,0,"Peds_Ctrl","NRAP"
"NAV1",0,1.49382966008005,0.825,0.498,0,"Peds_Ctrl","NAV1"
"NNT",0,1.26647676394296,0.91,0.606,0,"Peds_Ctrl","NNT"
"PLN",0,1.35584145337744,0.91,0.625,0,"Peds_Ctrl","PLN"
"OBSCN",0,1.01951976410169,0.941,0.69,0,"Peds_Ctrl","OBSCN"
"FGF12",0,1.44130519986498,0.994,0.775,0,"Peds_Ctrl","FGF12"
"PDE4DIP",0,1.56488231472016,0.994,0.855,0,"Peds_Ctrl","PDE4DIP"
"MAST4",0,0.992975113635874,0.978,0.877,0,"Peds_Ctrl","MAST4"
"TNNT2",0,1.62423534262009,0.999,0.936,0,"Peds_Ctrl","TNNT2"
"MYBPC3",0,1.14429160550147,0.997,0.934,0,"Peds_Ctrl","MYBPC3"
"NEBL",0,0.640127142692125,0.994,0.941,0,"Peds_Ctrl","NEBL"
"SLC8A1",0,0.615610241863461,0.994,0.959,0,"Peds_Ctrl","SLC8A1"
"TTN",0,0.50397739172713,1,0.995,0,"Peds_Ctrl","TTN"
"TENT5A",9.0154013727017e-307,1.19500257901358,0.904,0.645,3.06649862291076e-302,"Peds_Ctrl","TENT5A"
"FHL2",2.80399450792048e-305,0.691687486871042,0.994,0.947,9.53750691924073e-301,"Peds_Ctrl","FHL2"
"MYH7B",1.39559997957878e-304,1.3833998969635,0.859,0.515,4.74699377053927e-300,"Peds_Ctrl","MYH7B"
"TBX20",2.68423430970255e-300,1.41691525658789,0.775,0.382,9.13015458102225e-296,"Peds_Ctrl","TBX20"
"TOGARAM2",9.46174099938104e-298,3.86167632217728,0.392,0.039,3.21831658352947e-293,"Peds_Ctrl","TOGARAM2"
"AC020659.1",1.56901787436732e-297,2.15382167905407,0.621,0.23,5.33685739787302e-293,"Peds_Ctrl","AC020659.1"
"COQ10A",2.3701292872421e-297,2.01646665910054,0.67,0.275,8.06175775762528e-293,"Peds_Ctrl","COQ10A"
"CORIN",8.78966616135847e-297,1.94758118099917,0.613,0.202,2.98971704812447e-292,"Peds_Ctrl","CORIN"
"LAMA4",3.5925983042239e-293,1.84956607144799,0.617,0.224,1.22198638719872e-288,"Peds_Ctrl","LAMA4"
"XIST",1.09347291421498e-287,11.6394711365676,0.315,0,3.71933877041082e-283,"Peds_Ctrl","XIST"
"LPCAT4",4.56371715171258e-275,2.81473169461996,0.446,0.082,1.55230275198352e-270,"Peds_Ctrl","LPCAT4"
"PPP1R1C",1.86977494071866e-274,1.5348720085057,0.697,0.334,6.35985248336046e-270,"Peds_Ctrl","PPP1R1C"
"DPP7",5.11376253811381e-264,3.054137254009,0.397,0.059,1.73939518971403e-259,"Peds_Ctrl","DPP7"
"MYL6",1.01770962263793e-263,1.8405294958236,0.667,0.299,3.46163751044066e-259,"Peds_Ctrl","MYL6"
"PTP4A3",2.79724052054331e-263,1.80946168281246,0.643,0.255,9.51453390657602e-259,"Peds_Ctrl","PTP4A3"
"CCDC141",3.26424715513185e-263,0.949510864328879,0.91,0.675,1.11030102734655e-258,"Peds_Ctrl","CCDC141"
"TRIQK",1.26350885305627e-261,1.49651666514848,0.704,0.364,4.2976990127856e-257,"Peds_Ctrl","TRIQK"
"PPP1R13L",7.40495190231784e-261,1.80503461314808,0.579,0.193,2.51872034005439e-256,"Peds_Ctrl","PPP1R13L"
"IDH2",4.69071547577107e-260,1.83029014742425,0.588,0.197,1.59549996192877e-255,"Peds_Ctrl","IDH2"
"RHOT2",1.78268500960238e-258,2.55190099717809,0.438,0.087,6.06362479166152e-254,"Peds_Ctrl","RHOT2"
"GAPDH",2.39703538318326e-258,1.87193229312443,0.582,0.202,8.15327615235956e-254,"Peds_Ctrl","GAPDH"
"PERM1",1.55931232575964e-254,3.60496885838921,0.362,0.044,5.30384494483885e-250,"Peds_Ctrl","PERM1"
"FABP3",3.36133606930407e-253,1.50088348380101,0.809,0.479,1.14332485061309e-248,"Peds_Ctrl","FABP3"
"KCNN2",5.49739838005732e-253,1.52382995633668,0.677,0.306,1.8698850849927e-248,"Peds_Ctrl","KCNN2"
"SLC4A3",7.66596777336263e-251,1.46862624063624,0.645,0.259,2.60750227843156e-246,"Peds_Ctrl","SLC4A3"
"GSTK1",3.39547624241657e-247,1.81832305838459,0.601,0.229,1.15493728909557e-242,"Peds_Ctrl","GSTK1"
"HMGN3",2.91395867030808e-246,1.30658941423377,0.835,0.495,9.9115390211859e-242,"Peds_Ctrl","HMGN3"
"RBFOX1",1.18113400484848e-245,0.973166778442123,0.893,0.718,4.01750920409162e-241,"Peds_Ctrl","RBFOX1"
"NMRK2",3.56967344359769e-245,1.76235137716469,0.692,0.333,1.21418872510532e-240,"Peds_Ctrl","NMRK2"
"GLIS3",3.85955031094488e-245,5.11093493539853,0.308,0.017,1.31278744276479e-240,"Peds_Ctrl","GLIS3"
"CORO6",5.43983374535329e-244,2.51235498422924,0.451,0.112,1.85030505014447e-239,"Peds_Ctrl","CORO6"
"AC008571.2",3.81839664863402e-241,4.17851898070705,0.317,0.024,1.29878943606638e-236,"Peds_Ctrl","AC008571.2"
"ALDOA",5.26516627800286e-241,4.99805886555543,0.296,0.013,1.79089365779989e-236,"Peds_Ctrl","ALDOA"
"LINC02822",4.66469790847334e-240,5.32024424939599,0.283,0.007,1.58665034658812e-235,"Peds_Ctrl","LINC02822"
"LDHB",6.91308324650757e-239,1.45882036498964,0.73,0.367,2.35141613546709e-234,"Peds_Ctrl","LDHB"
"CYC1",2.3193563107284e-238,2.46128288738319,0.419,0.089,7.88905855531157e-234,"Peds_Ctrl","CYC1"
"SLIT3",1.07775049145404e-236,3.68444616069854,0.33,0.033,3.66586052163176e-232,"Peds_Ctrl","SLIT3"
"GOT1",1.82075523495102e-234,1.24222599993478,0.753,0.399,6.19311685616239e-230,"Peds_Ctrl","GOT1"
"STXBP6",1.12245406297861e-230,1.44438570965973,0.652,0.308,3.81791524981544e-226,"Peds_Ctrl","STXBP6"
"PCBP2",4.89403836581786e-230,1.54448824443486,0.631,0.26,1.66465820974929e-225,"Peds_Ctrl","PCBP2"
"CKM",1.01996223502363e-228,1.50381319661252,0.686,0.328,3.46929954620939e-224,"Peds_Ctrl","CKM"
"CKMT2",2.26106768634052e-228,1.05186939447215,0.945,0.726,7.69079562831864e-224,"Peds_Ctrl","CKMT2"
"CHCHD3",4.7089548422713e-228,0.892741855961616,0.885,0.638,1.60170390005016e-223,"Peds_Ctrl","CHCHD3"
"ACSL1",7.27591078796982e-228,1.34198412628301,0.703,0.337,2.47482829542006e-223,"Peds_Ctrl","ACSL1"
"CD36",1.40367841419229e-227,0.594123595949681,0.989,0.923,4.77447175803366e-223,"Peds_Ctrl","CD36"
"SGCD",8.02208757137198e-227,0.597374807926746,0.987,0.904,2.72863286652646e-222,"Peds_Ctrl","SGCD"
"MACROD1",4.18125336690996e-226,1.76667822383417,0.516,0.16,1.42221152022075e-221,"Peds_Ctrl","MACROD1"
"MAN1A1",2.82797771707726e-224,2.4206217343976,0.382,0.068,9.61908340686661e-220,"Peds_Ctrl","MAN1A1"
"LINC01880",5.46028209978879e-224,4.48546710089335,0.286,0.016,1.85726035342216e-219,"Peds_Ctrl","LINC01880"
"RPL10",9.0686311238825e-223,1.67459533802357,0.581,0.227,3.08460419047739e-218,"Peds_Ctrl","RPL10"
"SAMD4A",7.79488514699418e-222,0.750198272855092,0.935,0.759,2.6513522338986e-217,"Peds_Ctrl","SAMD4A"
"COMTD1",7.40421543796332e-216,3.54983703588911,0.309,0.033,2.51846983906884e-211,"Peds_Ctrl","COMTD1"
"CNTNAP3B",8.58459602976922e-216,3.56831301430292,0.291,0.022,2.9199644935657e-211,"Peds_Ctrl","CNTNAP3B"
"CDC37",2.71538942036129e-214,1.83380895665074,0.525,0.193,9.23612557441688e-210,"Peds_Ctrl","CDC37"
"RALYL",3.53680013352794e-210,2.56780849458652,0.342,0.052,1.20300719741819e-205,"Peds_Ctrl","RALYL"
"AC138305.1",6.6310079939407e-210,0.842702633847753,0.904,0.707,2.25547105905899e-205,"Peds_Ctrl","AC138305.1"
"AL592183.1",4.75591199221053e-208,1.655848647484,0.525,0.182,1.61767590503049e-203,"Peds_Ctrl","AL592183.1"
"SORBS2",2.08701176628116e-206,0.528410196396409,0.99,0.934,7.09876182182875e-202,"Peds_Ctrl","SORBS2"
"UQCRC1",3.04709585349379e-206,1.85399111066251,0.471,0.142,1.03643918360738e-201,"Peds_Ctrl","UQCRC1"
"PTDSS1",6.14438051216173e-206,1.78835723400808,0.489,0.155,2.08994958740669e-201,"Peds_Ctrl","PTDSS1"
"PKM",5.27726302887444e-204,1.89573579124229,0.44,0.119,1.79500824664135e-199,"Peds_Ctrl","PKM"
"GRIK2",7.26399360860915e-204,2.67767599859731,0.36,0.069,2.47077478603232e-199,"Peds_Ctrl","GRIK2"
"RPL3L",3.83503800460104e-203,1.40375479488581,0.619,0.269,1.304449826885e-198,"Peds_Ctrl","RPL3L"
"MT-CO2",8.75191650580451e-203,1.18331157658025,0.643,0.288,2.97687688028435e-198,"Peds_Ctrl","MT-CO2"
"HIF3A",3.8120806312849e-202,0.911590546049472,0.752,0.421,1.29664110592525e-197,"Peds_Ctrl","HIF3A"
"MT-ND4L",1.04101814519671e-200,3.62218070118669,0.292,0.031,3.54091911907209e-196,"Peds_Ctrl","MT-ND4L"
"GRAMD1B",1.27406189614062e-199,1.36946886513306,0.662,0.369,4.33359413353272e-195,"Peds_Ctrl","GRAMD1B"
"GRK5",6.60846793613545e-199,3.32093629222185,0.329,0.057,2.24780428379711e-194,"Peds_Ctrl","GRK5"
"ZNF638",3.72985636144069e-198,0.715434316884503,0.942,0.773,1.26867334278044e-193,"Peds_Ctrl","ZNF638"
"PAM",2.00049207951132e-197,0.612894522296165,0.957,0.822,6.80447375924982e-193,"Peds_Ctrl","PAM"
"MYOM2",4.61504201925594e-197,0.61873217292888,0.971,0.854,1.56976039242971e-192,"Peds_Ctrl","MYOM2"
"GOLGA8B",1.32097632323015e-196,1.29714928403188,0.536,0.182,4.49316886583503e-192,"Peds_Ctrl","GOLGA8B"
"CADPS2",1.18764081505285e-194,2.30652981315642,0.331,0.053,4.03964146832078e-190,"Peds_Ctrl","CADPS2"
"NDUFS7",1.54596661933204e-193,2.04258062989487,0.427,0.123,5.258450858996e-189,"Peds_Ctrl","NDUFS7"
"GPT",1.54930495484313e-193,3.73877930684072,0.272,0.024,5.26980587340342e-189,"Peds_Ctrl","GPT"
"CIRBP",1.79404953473922e-193,1.43937450990723,0.579,0.238,6.10228008746199e-189,"Peds_Ctrl","CIRBP"
"DCXR",3.88112388490702e-192,3.54545518281958,0.278,0.029,1.32012547821228e-187,"Peds_Ctrl","DCXR"
"ATP1A3",2.6547048347894e-191,1.8506395472374,0.424,0.116,9.02971302505267e-187,"Peds_Ctrl","ATP1A3"
"LIMS2",1.74580323945802e-190,1.3153528781787,0.583,0.239,5.93817513869251e-186,"Peds_Ctrl","LIMS2"
"CNTN3",2.391022316684e-190,2.192447326258,0.333,0.057,8.13282330796897e-186,"Peds_Ctrl","CNTN3"
"SOX5",8.83616362389491e-190,1.01017032731581,0.629,0.267,3.00553269503162e-185,"Peds_Ctrl","SOX5"
"CDH2",2.56366423342522e-189,0.542654035083658,0.983,0.888,8.72004752357254e-185,"Peds_Ctrl","CDH2"
"DAB1",2.60095426585341e-187,1.87563503860772,0.481,0.174,8.8468858398738e-183,"Peds_Ctrl","DAB1"
"VIPR2",3.25335703524866e-186,1.36814691115027,0.606,0.279,1.10659686196948e-181,"Peds_Ctrl","VIPR2"
"CDK18",3.64805957521193e-186,1.72457629776896,0.465,0.149,1.24085098391258e-181,"Peds_Ctrl","CDK18"
"TMEM120A",1.87385155339238e-185,2.60738200574926,0.308,0.047,6.37371867370884e-181,"Peds_Ctrl","TMEM120A"
"ATP5F1B",9.1399947324946e-185,1.48335261979863,0.555,0.225,3.10887780831071e-180,"Peds_Ctrl","ATP5F1B"
"AC002057.2",1.08559367800479e-184,1.61081549717119,0.516,0.206,3.69253833636548e-180,"Peds_Ctrl","AC002057.2"
"AC105052.4",7.99385235722351e-184,2.1417416538148,0.359,0.077,2.71902894078601e-179,"Peds_Ctrl","AC105052.4"
"SLC25A3",1.30580412804396e-183,1.43681993833157,0.619,0.302,4.44156216112872e-179,"Peds_Ctrl","SLC25A3"
"ALPK2",1.90498939655961e-183,1.08992859292039,0.695,0.419,6.47963093345786e-179,"Peds_Ctrl","ALPK2"
"DSP",1.279084559457e-181,1.23208247915599,0.602,0.277,4.35067822053704e-177,"Peds_Ctrl","DSP"
"FHIT",2.56515098931222e-181,0.613956218836466,0.958,0.833,8.72510457504658e-177,"Peds_Ctrl","FHIT"
"TNNC1",4.67954452432755e-181,1.17316087937454,0.799,0.508,1.59170027450477e-176,"Peds_Ctrl","TNNC1"
"ENO3",8.21725073729657e-181,2.40010405216264,0.367,0.092,2.79501566578406e-176,"Peds_Ctrl","ENO3"
"AC119673.2",7.45310279118828e-180,2.59651562943355,0.291,0.04,2.53509838339478e-175,"Peds_Ctrl","AC119673.2"
"OBSL1",1.47144215139057e-179,1.58103221617319,0.449,0.137,5.0049633337399e-175,"Peds_Ctrl","OBSL1"
"PFKM",2.54698581748664e-179,1.56768806799471,0.535,0.217,8.66331755959907e-175,"Peds_Ctrl","PFKM"
"SLC29A1",2.91680788440067e-179,1.54076501426232,0.508,0.194,9.92123033800045e-175,"Peds_Ctrl","SLC29A1"
"CR381653.1",2.21430300235758e-178,2.99857605413718,0.305,0.055,7.53173023221908e-174,"Peds_Ctrl","CR381653.1"
"HADHA",1.09989545032539e-177,0.849317392146078,0.817,0.537,3.74118438473679e-173,"Peds_Ctrl","HADHA"
"PLCG2",2.78292762888961e-177,3.84892540995705,0.227,0.009,9.4658500369051e-173,"Peds_Ctrl","PLCG2"
"HERC2",6.41637084301018e-177,0.981842216570004,0.741,0.429,2.18246437854148e-172,"Peds_Ctrl","HERC2"
"GMPR",1.08576414924802e-176,1.08828787546504,0.686,0.362,3.69311817725221e-172,"Peds_Ctrl","GMPR"
"ATP5F1C",1.2848008502996e-175,1.19876353788476,0.658,0.326,4.37012161220906e-171,"Peds_Ctrl","ATP5F1C"
"PTGDS",6.52401629057383e-174,1.41523028184748,0.603,0.302,2.21907890107578e-169,"Peds_Ctrl","PTGDS"
"HPR",7.9162529454348e-172,2.49061131732843,0.334,0.077,2.69263427686019e-167,"Peds_Ctrl","HPR"
"DANCR",1.39909348246407e-170,1.5483445619931,0.551,0.252,4.7588765712533e-166,"Peds_Ctrl","DANCR"
"ANGPTL4",1.67647510917688e-170,2.39365986496859,0.279,0.037,5.70236243635424e-166,"Peds_Ctrl","ANGPTL4"
"ATP5MC3",1.79560103778887e-170,1.43955672984204,0.568,0.272,6.10755736993508e-166,"Peds_Ctrl","ATP5MC3"
"LRRC2",2.5800561096823e-170,0.937406583089205,0.8,0.521,8.77580285147336e-166,"Peds_Ctrl","LRRC2"
"TKT",3.92725044264065e-170,2.14043007482244,0.314,0.057,1.33581496555979e-165,"Peds_Ctrl","TKT"
"MLYCD",1.05427498843382e-169,1.05398236632128,0.593,0.27,3.58601094565879e-165,"Peds_Ctrl","MLYCD"
"LINC01128",1.84364508350394e-169,1.31865779228233,0.616,0.297,6.2709743870303e-165,"Peds_Ctrl","LINC01128"
"AL009177.1",1.45934180343469e-167,2.35827308323046,0.3,0.053,4.96380521020275e-163,"Peds_Ctrl","AL009177.1"
"AC022034.3",4.91264233693058e-167,1.68088389556953,0.605,0.336,1.67098616448357e-162,"Peds_Ctrl","AC022034.3"
"BBS9",5.46039074066189e-166,1.43683288507352,0.571,0.297,1.85729730652873e-161,"Peds_Ctrl","BBS9"
"TMEM65",3.25974638539739e-165,0.940479694012343,0.786,0.596,1.10877013552907e-160,"Peds_Ctrl","TMEM65"
"EFCAB2",2.18891483138142e-164,0.907266154745249,0.76,0.483,7.44537490746075e-160,"Peds_Ctrl","EFCAB2"
"TLN2",3.19244013848647e-164,0.903588896713761,0.773,0.5,1.08587658870479e-159,"Peds_Ctrl","TLN2"
"PPARGC1B",1.4529180656473e-163,0.988074409284167,0.708,0.409,4.94195550849271e-159,"Peds_Ctrl","PPARGC1B"
"ATP5F1D",1.64443471391883e-163,1.61959639282608,0.46,0.169,5.59338023592351e-159,"Peds_Ctrl","ATP5F1D"
"BCKDHB",3.06667800923503e-163,1.04435175554158,0.647,0.35,1.0430998580612e-158,"Peds_Ctrl","BCKDHB"
"RCAN2",2.559192634424e-162,0.516102070440745,0.965,0.878,8.70483782672978e-158,"Peds_Ctrl","RCAN2"
"MT-CO1",3.14304731227894e-162,0.955001539627796,0.755,0.443,1.06907611279856e-157,"Peds_Ctrl","MT-CO1"
"MTSS1",5.92451757315367e-162,0.855412443424533,0.766,0.459,2.01516540733249e-157,"Peds_Ctrl","MTSS1"
"MYOCD",5.40057285817527e-161,0.787551623078422,0.825,0.608,1.83695085197974e-156,"Peds_Ctrl","MYOCD"
"CDH13",4.83852478347803e-160,0.606553126076172,0.962,0.849,1.64577581985222e-155,"Peds_Ctrl","CDH13"
"TPM2",6.40887547873763e-160,1.59085352879623,0.717,0.486,2.17991490533782e-155,"Peds_Ctrl","TPM2"
"SLC12A7",1.02669051093902e-159,1.37214047005696,0.559,0.255,3.49218510390798e-155,"Peds_Ctrl","SLC12A7"
"NPIPB5",1.30751982172946e-159,1.71662596600415,0.372,0.099,4.44739792163058e-155,"Peds_Ctrl","NPIPB5"
"SRSF2",1.81804370018254e-159,1.50210114842688,0.521,0.229,6.18389384180089e-155,"Peds_Ctrl","SRSF2"
"ESRRB",7.19044279468063e-159,1.47822750616656,0.432,0.145,2.44575721218267e-154,"Peds_Ctrl","ESRRB"
"GBE1",7.6816938698394e-159,0.78029505499955,0.887,0.696,2.61285135288717e-154,"Peds_Ctrl","GBE1"
"OPLAH",1.60970974908841e-158,2.59816177362692,0.262,0.035,5.47526674054931e-154,"Peds_Ctrl","OPLAH"
"MT-ATP8",1.6571237897517e-158,3.64250896667531,0.227,0.019,5.63654085846145e-154,"Peds_Ctrl","MT-ATP8"
"ADCY6",7.32772673841645e-158,1.08874346418109,0.578,0.266,2.49245297280497e-153,"Peds_Ctrl","ADCY6"
"NECAB3",8.75304662226694e-158,3.17133219039695,0.255,0.035,2.97726127809788e-153,"Peds_Ctrl","NECAB3"
"RASGRP3",1.23424092980872e-157,0.913174891662795,0.69,0.4,4.19814709865138e-153,"Peds_Ctrl","RASGRP3"
"GGT7",1.31408955352908e-157,1.32886924218055,0.509,0.206,4.4697442073738e-153,"Peds_Ctrl","GGT7"
"ECH1",7.60710548729239e-157,1.69582754692516,0.399,0.122,2.58748086044763e-152,"Peds_Ctrl","ECH1"
"PPP1R3A",1.5195375224514e-156,0.967259015907193,0.754,0.46,5.16855492886621e-152,"Peds_Ctrl","PPP1R3A"
"SDK1",1.68363320594989e-156,1.20876361755466,0.542,0.25,5.72670998671796e-152,"Peds_Ctrl","SDK1"
"VWA8",1.01069446405037e-155,0.561407756093229,0.926,0.774,3.43777615002092e-151,"Peds_Ctrl","VWA8"
"TXNIP",1.03081779452678e-155,0.64226999709526,0.956,0.769,3.50622364630339e-151,"Peds_Ctrl","TXNIP"
"NRP1",2.01828558515435e-155,0.760496202996024,0.865,0.664,6.86499658934399e-151,"Peds_Ctrl","NRP1"
"HSDL2",3.28614820951164e-154,0.84025248229967,0.782,0.564,1.11775045198329e-149,"Peds_Ctrl","HSDL2"
"GATA4",7.59381435755859e-154,0.896269017291177,0.702,0.448,2.58296001557998e-149,"Peds_Ctrl","GATA4"
"INTS11",5.46714979198971e-153,2.34257703925339,0.281,0.05,1.85959633024738e-148,"Peds_Ctrl","INTS11"
"MAP3K14",7.70358595164422e-152,1.52632639404789,0.436,0.16,2.62029772559226e-147,"Peds_Ctrl","MAP3K14"
"ATP5ME",1.07004863331378e-151,1.53111202250438,0.448,0.171,3.6396634213535e-147,"Peds_Ctrl","ATP5ME"
"MYH7",1.38434538131095e-151,0.928291298438241,0.94,0.909,4.70871237999108e-147,"Peds_Ctrl","MYH7"
"TNS2",6.48268283850254e-150,1.97563035293608,0.354,0.1,2.20501974068825e-145,"Peds_Ctrl","TNS2"
"NCAM1",1.1768006931679e-149,0.63325421758238,0.911,0.787,4.00276987774129e-145,"Peds_Ctrl","NCAM1"
"GPSM1",5.59561458774243e-149,2.7011990126957,0.256,0.04,1.90329234587471e-144,"Peds_Ctrl","GPSM1"
"CES2",3.15470427259242e-147,2.02553538816682,0.309,0.07,1.07304111127959e-142,"Peds_Ctrl","CES2"
"ME3",4.81374933370195e-147,1.15654377908876,0.592,0.3,1.63734869836538e-142,"Peds_Ctrl","ME3"
"BCO2",6.76185913463478e-147,0.709437816760756,0.852,0.638,2.29997876605467e-142,"Peds_Ctrl","BCO2"
"SREBF2",7.88515876742997e-147,1.00180629547433,0.601,0.31,2.68205790315363e-142,"Peds_Ctrl","SREBF2"
"CSDC2",1.50732834701479e-146,0.725577930246413,0.738,0.428,5.12702663953611e-142,"Peds_Ctrl","CSDC2"
"MAP1LC3A",4.39003511881111e-146,2.05842192384289,0.336,0.094,1.49322654531241e-141,"Peds_Ctrl","MAP1LC3A"
"RAB11B",1.35202213622089e-144,2.46936640750586,0.275,0.055,4.59876809414173e-140,"Peds_Ctrl","RAB11B"
"ASAH1",4.21243752772052e-144,0.868420705216548,0.846,0.586,1.43281850067886e-139,"Peds_Ctrl","ASAH1"
"SMYD1",2.02630870951747e-143,0.881131783847297,0.794,0.528,6.89228644455272e-139,"Peds_Ctrl","SMYD1"
"TESC",3.60552988725218e-143,1.52537862127772,0.37,0.109,1.22638493584996e-138,"Peds_Ctrl","TESC"
"SLC7A6",3.62144079252399e-143,0.75076901539108,0.775,0.52,1.23179687116911e-138,"Peds_Ctrl","SLC7A6"
"MASP1",5.04103112276812e-143,1.19775213823585,0.443,0.158,1.71465632609835e-138,"Peds_Ctrl","MASP1"
"SGCA",9.91397983894249e-143,1.71695112466579,0.373,0.117,3.3721411024179e-138,"Peds_Ctrl","SGCA"
"COX4I1",1.09552022061428e-142,1.2436405079006,0.557,0.279,3.72630247839741e-138,"Peds_Ctrl","COX4I1"
"PGM1",2.90335900588503e-142,1.1237301657551,0.562,0.266,9.87548532261733e-138,"Peds_Ctrl","PGM1"
"SPATA20",1.51294148054895e-141,2.92607233204319,0.241,0.038,5.1461191519392e-137,"Peds_Ctrl","SPATA20"
"AL355596.2",3.78631667551102e-141,2.61522744905617,0.287,0.066,1.28787775400832e-136,"Peds_Ctrl","AL355596.2"
"SPSB3",4.95448265904617e-141,2.01820517733587,0.341,0.103,1.68521773164796e-136,"Peds_Ctrl","SPSB3"
"HIVEP3",6.72045920383781e-141,1.06129546385578,0.622,0.372,2.28589699359339e-136,"Peds_Ctrl","HIVEP3"
"NCEH1",2.09061886210412e-140,0.837408064290026,0.726,0.5,7.11103099756095e-136,"Peds_Ctrl","NCEH1"
"TINAGL1",3.76744119271574e-140,1.78571997648088,0.361,0.115,1.28145744729033e-135,"Peds_Ctrl","TINAGL1"
"SNX6",4.80825509350773e-140,1.03678292713794,0.575,0.282,1.63547988750572e-135,"Peds_Ctrl","SNX6"
"MTA1",2.27572436316289e-138,1.80686281829749,0.325,0.085,7.74064884886227e-134,"Peds_Ctrl","MTA1"
"ABHD14B",1.40517780412861e-137,2.22544900662965,0.294,0.072,4.77957178296307e-133,"Peds_Ctrl","ABHD14B"
"MPPED2",3.52912673341959e-137,1.05308937132992,0.497,0.218,1.20039716710534e-132,"Peds_Ctrl","MPPED2"
"SMARCD3",1.3259309098439e-136,1.70052946531443,0.359,0.113,4.51002139674303e-132,"Peds_Ctrl","SMARCD3"
"THEM4",1.49786070427676e-136,1.22680545498174,0.455,0.176,5.09482339952698e-132,"Peds_Ctrl","THEM4"
"ALDH1L1",9.37746274940168e-136,1.77432672429664,0.29,0.064,3.18965017958149e-131,"Peds_Ctrl","ALDH1L1"
"BRINP3",9.60344829069387e-135,1.9501193224269,0.366,0.126,3.26651690159661e-130,"Peds_Ctrl","BRINP3"
"ATP5PB",1.34927699798478e-134,1.39913008166723,0.41,0.147,4.58943078094543e-130,"Peds_Ctrl","ATP5PB"
"FRK",3.4152742148041e-134,1.20883600833697,0.493,0.222,1.16167137142347e-129,"Peds_Ctrl","FRK"
"RALA",4.50593494993059e-134,1.15624994863368,0.489,0.218,1.53264871386939e-129,"Peds_Ctrl","RALA"
"KLHL31",3.90518543070709e-133,0.90647450155325,0.704,0.44,1.32830977240071e-128,"Peds_Ctrl","KLHL31"
"NUDT4",5.25138036342151e-133,0.889750211920165,0.691,0.471,1.78620451681419e-128,"Peds_Ctrl","NUDT4"
"NDUFS2",5.32587456174799e-133,1.464944039895,0.414,0.156,1.81154297343296e-128,"Peds_Ctrl","NDUFS2"
"ABCD3",7.19296632258181e-133,0.956866375846415,0.619,0.326,2.44661556496298e-128,"Peds_Ctrl","ABCD3"
"CTSD",3.44549702929454e-132,1.61868662868809,0.306,0.076,1.17195135954425e-127,"Peds_Ctrl","CTSD"
"PPP1R16A",6.94192377945281e-132,1.93701849472978,0.33,0.1,2.36122595434308e-127,"Peds_Ctrl","PPP1R16A"
"CKB",9.19606038679038e-132,2.71893128772157,0.221,0.03,3.12794797996288e-127,"Peds_Ctrl","CKB"
"ILVBL",3.36682952207777e-131,2.44885669214571,0.258,0.052,1.14519339363953e-126,"Peds_Ctrl","ILVBL"
"HADHB",1.06484020867086e-130,0.579082979660494,0.918,0.758,3.62194748577308e-126,"Peds_Ctrl","HADHB"
"SNHG25",1.11862806871877e-130,1.57634193841084,0.372,0.127,3.80490151294004e-126,"Peds_Ctrl","SNHG25"
